station_code,routes,median_official_delta,mean_official_delta,improved_fraction
DCH2,24,-0.10923109093293284,-0.12751766605274095,0.9583333333333334
DSE2,19,-0.0808959133260268,-0.08194766895236609,1.0
DBO2,45,-0.06749251199261032,-0.06962696013198574,0.8666666666666667
DCH1,30,-0.06723350136198675,-0.07435368707330864,0.9666666666666667
DCH3,41,-0.0519997911076253,-0.05463909482122727,0.8780487804878049
DSE5,77,-0.0519626393296892,-0.05484767221632422,0.9090909090909091
DBO1,9,-0.045717266826774905,-0.05440129581931201,1.0
DLA7,170,-0.04122685400593215,-0.04231972532883137,0.9117647058823529
DCH4,58,-0.041131296261257354,-0.039749151706062184,0.8448275862068966
DSE4,67,-0.04044303127781511,-0.04589530530645569,0.9104477611940298
DLA5,24,-0.039639795900201,-0.053815702844939924,0.9583333333333334
DLA9,106,-0.037606237649449856,-0.03827240279900364,0.8301886792452831
DLA8,68,-0.037589350195256103,-0.04256147321894158,0.8235294117647058
DBO3,86,-0.03635630347537795,-0.03787294002934898,0.8604651162790697
DLA4,30,-0.0261381244728171,-0.03299443297238649,0.9333333333333333
DAU1,33,-0.023587955326641097,-0.03946530933221024,0.7575757575757576
DLA3,39,-0.0228751984083257,-0.03136311116186986,0.8205128205128205
